Transcripts	CT_1	CT_2	CT_3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_0	655.78	631.08	669.89	654.21	402.56	447.09	510.08	442.22	399.82	483.3	437.89	444.06	405.43	416.63	464.75
transcript_1	92.72	112.26	150.3	88.35	76.35	94.55	120.24	80.89	73.94	96.25	82.62	85.48	65.12	61.94	73.44
transcript_10	21.74	31.11	22.58	15.09	13.67	13.24	12.48	7.53	13.35	11.16	11.36	6.96	7.82	4.01	10.02
transcript_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_1000	0	14.15	36.01	0	0	193.59	208.45	0	232.4	148.58	0	181.61	0.02	12.18	0
transcript_10000	89.18	158.04	86.28	82.97	117.78	102.24	129.61	112.73	85.7	80.89	124.11	115.25	113.87	107.69	119.83
transcript_10001	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66	0
transcript_10002	16.61	18.54	15.41	8.08	9.32	7.38	20.58	4.9	24.82	13.55	22.22	17.65	76.93	21.6	32.82
transcript_10004	245.29	0	0.34	130	0	16.31	0	14.28	45.38	59.27	26.57	0	3.34	1.61	0
transcript_10005	173.78	15.35	270.56	18.05	144.8	5.11	6.19	135.24	180.12	34.55	9.19	1.06	129.6	22.57	40.62
transcript_10006	73.4	88.89	84.27	98.78	86.53	98.54	0	0	70.75	0	0	76.66	0	59.63	0
transcript_10007	1605.63	1754.43	2046.62	1673.49	2321.14	2197.86	1934.17	1743.92	1708.51	1432.08	1881.46	1828.98	1945.62	1816.47	1815.35
transcript_10008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10009	0	0	0	1.04	0	0.93	0	0	0.17	0	1.53	1.8	0	0	0
transcript_10010	0	0	5.95	0	0.02	0.05	0	0	0	0	0	337.15	63.41	0	0
transcript_10011	1858.18	943.05	932.31	842.56	1099.04	1196.89	1059.22	2042.71	888.15	717.27	997.92	895.06	1154.53	978.41	966.78
transcript_10012	6.31	5.89	10.49	5.38	10.98	6.95	9.12	6.72	5.99	6.41	11.55	3.78	9.39	7.57	10.09
transcript_10013	598.57	715.91	715.21	614.7	718.46	711.91	685.33	718.87	709.03	663.57	714.82	634.31	755.93	594.6	687.83
transcript_10014	125.47	2.63	5.23	46.89	0	14.15	23.25	13.19	35.23	44.93	9.38	47.12	0	0	0
transcript_10015	44.41	61.98	70	63.19	72.68	66.19	66.22	108.15	83.18	60.8	70.33	77.69	67.16	79.33	73.43
transcript_10016	0	98.03	81.34	0	44.83	23.3	0	16.36	0	57.22	0	58.53	0	35.79	59.17
transcript_10017	0	0	46.47	0	0	0	0	14.43	0	0	0	38.12	34.23	0	0.03
transcript_10018	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0
transcript_10019	0	0.22	0	0	0	0	0	0	0	0.2	0	0	0	0	0.43
transcript_1002	56.96	42.57	70.97	57.47	60.73	53.05	58.77	90.49	75.15	75.4	58.23	47.8	69.82	56.07	89.48
transcript_10020	0	0	0	0	0	0.76	0	0	0	0.67	1.01	0	0	0	2.93
transcript_10021	221	276.57	235.41	168.46	268.88	234.35	177.89	235.64	145.06	144.27	155.13	189.34	146.43	169.6	285.08
transcript_10022	19.54	23.53	0	19.13	19.64	35.79	27.12	22.07	17.32	29.56	25	4.89	13.54	58.76	20.29
transcript_10023	8.69	6.38	8.67	9.72	3.9	12.53	10.01	8.96	7.59	6.8	8.7	12.83	15.66	7.86	3.36
transcript_10024	0	0	0	0	0	0.06	0	0	0.17	0	0	0	0	0	0
transcript_10025	3.21	2.63	1.91	1.02	3.36	3.03	2.04	0.57	2.13	1.84	3.13	4.03	2.54	5.2	2.19
transcript_10026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10027	2281.33	2479.51	2611.55	2274.46	2850.86	2890.21	2777.82	2290.72	2256.76	1922.89	2512.11	2424.79	3177.18	2659.87	2751.46
transcript_10028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10029	0	0	0	0	13795.08	0	0	26616.63	0.33	11.91	18.65	22975.22	0.39	0	9.11
transcript_1003	45.19	60.17	47.22	40.53	72.47	78.4	94.5	64.14	56.28	82.49	94.56	43.33	203.22	127.85	138.13
transcript_10030	0	0	0	0	0	0	0	0	0	0	0	0	20.05	0	35.37
transcript_10031	153.07	263.64	178.42	152.77	169.49	148.72	173.7	170.05	183.23	177.35	151.34	168.82	174.22	164.84	218.62
transcript_10032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10034	18.11	60.04	28.33	15.58	13.96	25.74	7.16	8.59	24	38.32	12.52	24.91	11.88	8.66	13.64
transcript_10035	4293.88	5615.97	4933.85	4315.86	6893.42	5076.96	6820.44	3867.44	5504.08	6058.79	4162.02	5579.48	4731.29	4476.94	4080.81
transcript_10036	291.34	237.17	354.29	229.67	277.62	274.31	300.54	323.96	302.63	221.82	310.55	214.77	360.25	250.06	316.13
transcript_10037	836.91	1540.49	724.41	714.64	3359.52	805.07	2742.65	843.91	1195.03	2302.86	3777.33	1034.11	3741.89	824.06	3118.04
transcript_10038	0	0	94.96	71.54	0	57.27	0	0	0	91.23	0	61.17	0	0.36	57.91
transcript_1004	823.09	1051.5	831.14	661.26	558.63	502.59	667.22	636.74	723.45	845.84	717.34	649.34	488.2	531.35	624.63
transcript_10040	414.78	324.3	443.12	285.55	255.77	148.91	233.09	132.22	370.18	242.56	271.91	256.18	120.49	166.42	266.16
transcript_10041	2.18	1.83	3.3	6.28	2.09	1.4	1.06	1.81	1.31	1.2	2.69	1.28	3.04	0.63	1.25
transcript_10042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10043	99.1	41.84	151.97	60.57	131.27	102.52	85.22	74.59	65.89	62.15	75.8	62.61	172	0	113.62
transcript_10045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10046	36.8	14.12	0	0	0	0	0	0	0	18.06	0	22.83	0	0	0
transcript_10047	509.46	310.15	597.16	2824.81	763.17	658.02	670.09	216.31	1110.48	6108.63	565.52	309.1	2059.37	200.68	196.52
transcript_10048	250.98	434.45	448.52	389.73	373.57	389.28	209.71	463.6	432.44	442.54	336.04	525.9	230.87	489.7	322.15
transcript_10049	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0
transcript_1005	22.32	22.37	29.14	33.64	70.69	28.28	63.44	49.81	27.79	28.57	109.02	25.51	4.29	1.03	1.87
transcript_10050	205.79	260.96	197.38	159.32	219.74	182.4	173.54	156.55	246.74	123.48	275.58	207.77	310.59	208.4	320.9
transcript_10051	22.86	26.71	29.12	26.23	18.76	18.92	21.71	24.56	25.55	19.27	21.22	17.28	8.52	11.84	17.45
transcript_10052	885.49	0	339.07	0	1086.48	0	404.09	2779.39	430.19	0	0	53.47	0	0	0
transcript_10053	93.19	63.35	106.89	88.82	104.11	153.85	155.73	103.22	88.79	142.03	240.66	96.75	289.75	93.67	141.92
transcript_10054	8.33	43.16	39.2	16.41	102.93	19.79	79.79	70.27	78.38	60.03	58.65	67.96	81.28	40.31	38.34
transcript_10055	100.58	106.9	109.54	74.06	69.86	77.42	72.03	79.91	90.92	66.05	73.49	66.36	98.28	65.82	66.12
transcript_10056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10057	4.94	8.52	8.52	7.74	6.61	0	3.38	2.86	0.71	2.32	10.77	11.46	14.57	11.59	0
transcript_10058	54.83	42.81	69.39	59.36	60.72	54.01	46.39	59.44	61.88	46.22	62.49	51.28	72.93	64.93	66.45
transcript_10059	31.56	20.33	66.07	214.84	201	166.62	303.2	40.35	188.72	1233.63	56.51	262.7	102.42	112.14	33.58
transcript_1006	28.82	45.79	29.1	35.57	21.58	29.05	28.83	33.05	29.66	43.11	25.14	33.12	16.34	19.07	4.66
transcript_10060	125.57	117.03	148.24	87.94	120.17	114.73	121.99	108.25	110.93	86.32	134.36	87.79	163.35	102.43	121.59
transcript_10061	21.02	11.31	23.38	16.05	11.6	6.59	15.78	8.08	19.48	17.55	8.1	8.65	7.71	10.11	13.47
transcript_10062	35.99	77	65.71	14.95	28.62	14.34	36.38	0	70.41	55.14	50.28	103.57	80.61	75.72	65.72
transcript_10063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10064	22.96	19.66	37.56	16.51	16.34	11.24	21.23	10.77	14.74	8.43	19.78	25.34	23.29	12.1	15.8
transcript_10065	177.36	131.3	246.46	191.34	150.36	144.84	176.26	181.21	143.19	166.77	153.58	163.42	136.67	162.09	200.46
transcript_10066	1109.33	1727.38	7408.33	3586.15	776.51	8625.17	4065.89	902.24	848.88	3110.59	4257.71	1298.93	8327.78	6124.24	4278.96
transcript_10067	84.02	96.42	0.7	150.85	78.81	73.65	98.31	66.06	0.62	0	0	69.32	1.17	0.91	0
transcript_10068	0	2.41	0	0	4.06	0	10.18	0	0	0	0	0	0	0	0
transcript_10069	27.21	31.86	35.85	47.28	54.16	109.35	76.82	119.81	65.44	57.43	70.83	112.74	140.7	141.62	118.59
transcript_1007	10.41	11.51	13.91	9.67	6.23	6.29	6.52	7.72	10.55	12.79	6.33	8.1	4.93	4.7	9.2
transcript_10070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10071	0	1.44	0	0	0	0	0	0.13	0	0	0	0	68.75	0	4.05
transcript_10072	1342.24	968.59	1509.59	1217.63	1651.01	1701.72	1168.07	1624.69	637.93	618.39	607.53	917.81	289.75	425.69	315
transcript_10073	28.76	23.04	28.14	25.77	52.27	37.04	38.77	39.7	41.71	57.67	77.22	54.35	48.86	48.63	62.31
transcript_10074	293.58	379.4	222.78	222.89	230.2	204.61	223.22	205.26	335.97	254.64	265.7	399.48	375.81	272.04	338.97
transcript_10075	13.34	15.79	16.42	10.41	14.55	5.52	3.91	7.39	12.08	12.38	6.51	11.73	10.83	9.87	13.44
transcript_10076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10078	0	0	0	0.55	3.01	0	3.34	0	0	0	0	0.55	0.23	0.49	0.4
transcript_10079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_1008	18.03	15.6	39.9	38.53	38.38	40.65	42.09	50.25	26.56	41.13	56.01	36.04	59.7	64.44	65.29
transcript_10080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10081	15.35	37.63	30	32.12	21.58	25.29	19	17.89	31.57	24.1	30.21	24.65	16.51	15.28	28.2
transcript_10082	0	3109.62	0	2559.44	2727.16	3872.9	3067.19	0	1937.35	1259.79	1995.64	0.18	2765.71	3118.15	2328.63
transcript_10083	284.72	65.49	335.73	280.6	299.53	381.1	292.94	274.01	338.45	300.77	304.39	286.48	306.01	289.07	329.78
transcript_10085	1.43	1.62	1.33	2.27	0	0	0	0	0.72	1.5	1.82	4.16	0.79	5.34	0
transcript_10086	0	2.9	0	3.7	0.37	3.79	0	0	0	6.3	2.54	2.96	1.87	0	2.53
transcript_10087	0	1.16	1.29	0.5	1.39	0.49	0	1.05	0.83	0.8	0.88	2.95	1.83	6.11	0.72
transcript_10088	24.35	18.49	29.5	17.69	14.11	16.78	9.82	15.38	15.03	13.74	16.09	15.28	14.34	15.66	20.05
transcript_10089	3.72	6.23	7.5	2.93	11.34	7.92	13.35	19.83	13.39	16.2	19.73	19.86	35.89	39.76	41.37
transcript_1009	30.65	30.42	30.27	45.35	40.21	46.24	66.47	66.33	50.75	70.26	66	75.47	57.72	45.75	72.24
transcript_10090	307.32	14.52	206.98	470.23	13.93	11.54	18.08	23.45	547.83	1425.47	58.72	1.35	12	3.26	0.31
transcript_10091	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0
transcript_10092	11.88	7.17	10.05	9.87	13.35	8.85	13.31	21.3	9.42	12.77	4.88	35.39	18.44	8.74	11.58
transcript_10093	8.56	8.4	39.93	7.61	4.07	4	6.57	2.77	4.58	6.46	5.74	14.05	2.03	3.6	4.2
transcript_10094	14.54	15.89	17.72	18.65	16.92	19.8	15.91	13.97	17.09	13.17	12.93	19.84	11.73	19.58	22.13
transcript_10095	230.14	290.73	306.53	142.66	143.15	128.55	162.85	125.64	139.4	200.39	182.97	109.3	118.74	138.95	121.37
transcript_10096	25.97	28.76	42.04	28.19	37.78	33.67	35.47	21.44	28.37	30.17	37.03	18.39	29.92	20.28	27.89
transcript_10097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10099	17.46	24.53	28.41	16.29	22.27	17	17.16	18.91	14.47	16.96	16.24	13.82	15.36	14.16	18.31
transcript_101	0.71	0	2.84	3.59	2.68	3.06	5.58	4.19	4.59	7.98	7.81	4.64	9.17	11.04	5.33
transcript_1010	9.61	4.77	7.79	17.13	6.33	7.73	9.96	9.38	12.53	10.74	12.25	9.28	13.62	6.96	14.88
transcript_10100	0	0	0	500.09	0	1323.39	0	0	0	0	0	2105.46	2399.57	0	0
transcript_10101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10102	93.75	114.55	123.91	77.54	70.56	80.62	79.38	74.19	77.06	74.11	69.07	63.06	69.87	52.94	74.31
transcript_10103	15653.44	26868.6	19188.45	7962.9	11060.12	6902.12	9600.07	7188.6	5526.16	3228.16	6319.49	19445.22	4540.55	10357.77	11937.67
transcript_10104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10105	187.01	97.36	228.04	209.85	76.26	63.51	92.26	129.63	183.24	177.85	68.63	121	66.47	131.75	147.58
transcript_10106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10107	5.95	3.24	1.05	6.69	7.13	4.05	4.39	1.69	3.2	6.13	1.31	2.43	7.89	4.61	9.31
transcript_10108	160.38	606.95	609.98	533.08	205.6	537.52	691.03	551.8	407.75	503.95	701.72	158.5	760.12	455.8	448.03
transcript_10109	82.67	98.99	0	0	104.79	0	475.24	177.99	94.38	1.06	56.08	323.87	302.94	169.76	164.36
transcript_1011	10.03	8.98	8.8	9.86	13.21	10.75	10.47	15.62	10.14	9.21	12.31	11.12	12.49	8.57	14.5
transcript_10110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10111	616.11	667.76	659.76	540.34	799.74	749.77	702.91	572.46	633.22	477.32	741.98	664.86	856.95	700.82	738.84
transcript_10112	203.3	268.3	154.52	191.86	364.42	329.47	145.25	0	311.69	177.51	195.79	96.98	0	0	0
transcript_10113	5.62	2.63	3.65	9.85	1.19	4.63	2.6	2.42	2	3.87	2.67	4.51	4.43	1.8	0.85
transcript_10114	11.43	10.29	11.48	6.21	12.58	10.45	14.88	10.63	13.79	10.44	16.99	11.47	22.99	15.26	17.18
transcript_10115	3.95	2.42	0.35	20.42	28.55	39.24	68.26	64.96	45.33	35.26	86.47	80.58	280.57	213.08	121.84
transcript_10116	1.26	4.32	5.6	4.89	3.71	3.18	6.61	4.98	4.32	5.8	4.06	4.41	2.24	2.14	4.4
transcript_10117	62.32	71.63	87.42	69.03	83.51	68.91	57.38	62.53	48.24	0.52	0	75.41	0	0	0.3
transcript_10118	40.32	497.67	35.45	360.58	282.99	308.74	410.01	34	532.47	48.77	60.48	359.5	533.37	490.88	62.44
transcript_10119	729.98	0	1688.98	0	0	2179.7	3077.36	0	0	6255.08	0	0	0	0	1090.78
transcript_1012	36.78	53.89	57.15	51.46	86.66	53.2	63.45	75.57	71.32	47.21	67.27	57.61	68.55	76.9	79.33
transcript_10120	5.5	5.74	3.17	2.23	2.76	2.29	2.28	14.25	5.77	7.91	10.95	9.24	4.66	4.87	4.82
transcript_10121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10123	0	0	0	0	0	0	1.92	0	0	1.94	0.46	0	1.98	2.42	0
transcript_10124	41.3	28.92	61.88	61.87	55.09	60.62	64.35	87.43	72.36	53.93	81.1	45.6	78.44	53.6	81.09
transcript_10125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10126	8.2	3	1.23	7.95	5.88	2.52	0.09	4.04	6.72	8.02	5.44	3.65	10.26	0.65	11.91
transcript_10127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10128	0	0.74	1.52	0.65	1	0.43	0.42	1.91	2.7	1.77	0	0.76	1.03	3.3	0
transcript_10129	6.77	0	4.22	3.91	0	0	0	0.61	1.79	7.88	14.22	0	10.11	4.7	3.1
transcript_1013	0.99	87.56	1.04	0.97	104.75	0.95	58.46	67.91	1.28	0.27	0.86	0.66	48.57	0.44	0
transcript_10130	79.63	0.79	2.47	72.42	0.25	63.95	63.58	58.95	83.26	72.16	0.39	1.42	75.92	1.75	96.47
transcript_10131	42.58	63.37	51.17	39.19	22.5	31.89	53.63	12.75	68.53	71.42	44.76	40.77	81.31	40.62	101.66
transcript_10132	76.7	74.28	68.62	59.92	68.7	66.7	56.62	82.23	57.82	76.27	49.99	42.16	68.02	40.35	63.46
transcript_10133	43.6	44.13	52.15	40.06	53.87	46.06	49.73	50.73	50.21	45.13	47.51	46.63	51.32	51.41	53.68
transcript_10134	2.77	1.33	4.14	4.43	5.82	1.77	4.37	2.53	4.91	3.98	2.86	2.42	6.15	2.37	7.01
transcript_10135	98.31	140.68	144.72	100.2	124.9	144.41	97.51	122.74	86.9	167.56	183.12	139.54	133.81	70.91	85.04
transcript_10136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10137	78.7	94.85	113.64	90.42	111.45	107.53	126.3	111.75	123.73	103.57	146.86	106.16	159.35	113.59	122.76
transcript_10138	1.59	807.44	907.63	0	0	1303.37	1363.21	303.48	1375.63	855.45	1575.74	1384.21	1219.92	512.08	774.57
transcript_10139	0	0	1.87	0	6.63	0	0	0	0	0	0	0	0	0	0
transcript_10140	0	0	0	0	0	0	0	0	8.71	16.91	0	0	41.79	10.2	0
transcript_10141	238.53	2184.29	474.7	357.39	191.91	276.37	124.7	122.19	1301.03	345.54	127.29	164.63	93.25	944.37	279.86
transcript_10142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10143	26.08	26.26	32.14	26.55	39.61	28.86	37.57	30.42	33.02	34.33	45.88	26.44	44.06	26.41	31.31
transcript_10144	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0
transcript_10145	2.31	1.66	1.43	0.92	6.14	6.5	6.57	3.91	3.27	1.71	3.87	2.78	1.16	1.14	1.22
transcript_10146	30.37	113.35	367.27	50.94	46.85	95.24	108.3	129.6	70.58	110.03	57.35	210.51	75.33	45.06	56.76
transcript_10147	8.92	7.55	11.31	10.53	12.82	11.55	14.14	18.11	12.63	12.43	15.31	12.26	22.03	19.47	22.57
transcript_10148	68.19	66.75	85.96	60.83	61.56	56.24	55.38	68.24	63.99	66.11	52.43	56.65	40.49	42.4	64.02
transcript_10149	622.32	6.56	0	257.36	2.24	59.76	89.82	64.52	70.77	151.75	77.5	122.11	11.06	5.67	0
transcript_1015	2.71	1.93	2.96	2.31	2.35	2.94	2.14	2.81	2.09	1.78	3.02	2.51	2.64	2.02	1.58
transcript_10150	0.05	12.03	0	5.94	3.9	0	0	2.35	1.02	2.55	1.64	9.33	6.73	0.85	5.5
transcript_10151	63.12	140.25	126.44	195.4	109.03	72.65	130.52	66.95	132.45	100.74	95.66	135.97	132.85	113.57	154.41
transcript_10152	0.21	0.47	0	0.56	2.12	1.85	0.62	0.52	0	0	0.46	0	0.21	0.18	0.47
transcript_10153	107.85	105.7	146.85	104.46	161.82	132.48	107.78	130.54	163.54	110.87	137.59	98.69	172.41	203.03	123.13
transcript_10154	0	1.14	0	0	0	0	0.68	0	0.17	0.41	0	0	0	0	0.2
transcript_10155	47.46	92.21	62.93	52.32	441.02	38.08	376.38	35.93	0	498.43	0.03	517.77	59.1	35.57	487.14
transcript_10156	59.94	68.7	57.63	25.32	54.18	35.3	30.89	31.23	23.88	56.69	22.25	87.3	31.85	50.9	86.86
transcript_10157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10158	0	0.86	0.09	0	0	2.29	0.07	0.24	0.67	0	0	0.47	1.27	2.23	0
transcript_10159	0	0.26	153.98	118.66	200.16	164.04	253.31	0.08	0	0.13	0	213.62	0	0.15	0
transcript_1016	3.62	4.55	5.27	3.12	3.8	3.59	1.8	3.52	2.79	2.37	1.8	1.99	0.45	1.22	2.02
transcript_10160	19.94	47.81	24.83	29.38	15.45	23.23	18.05	19.88	24.01	41.46	51.6	33.43	30.77	37.51	58.68
transcript_10161	0	4.25	0	0	3.4	0	0	0	0.24	1.32	0.72	0.31	2.04	0	0
transcript_10162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10163	0.3	0.33	0	0.96	0.84	0	0.31	1.46	1.83	3.44	0.85	1.82	0	0.82	0
transcript_10164	20.43	13.64	39.15	24.89	22.63	21.78	80.43	34.56	24.45	24.68	29.73	88.61	34.93	17.42	30.59
transcript_10165	0	2.34	2.61	0	2.54	0	0	1.51	0	0	0	0.53	0	0	0
transcript_10166	218.61	36.83	214.57	7.07	12.5	10.22	13.82	190.32	10.33	291.99	17.4	8.16	20.61	200.09	11.98
transcript_10167	46.72	144.27	114.08	66.83	68.85	51.62	70.47	28.37	80.24	120.3	64.09	111.13	115.53	96.81	85.21
transcript_10168	0	0	0.58	0	0	0	0	0	0	0	0	0.94	0	0	0
transcript_10169	0.31	0.91	3.64	2.65	0.91	3.6	1.57	2.5	3.4	0	98.26	113.82	4.28	2.35	58.2
transcript_1017	9.76	8.46	10.07	11.21	12.81	11.43	15.01	17.56	14.72	11.85	19.42	12.91	29.47	30.66	26.14
transcript_10170	66.98	102.51	105.22	96.34	77.57	70.28	67.51	88.86	103.91	105.93	101.58	70.87	68.6	77.66	92.49
transcript_10172	23.57	31.84	0	26.29	0	27.16	0	0	36.88	28.39	0	39.1	0	0	31.69
transcript_10173	121.42	0	0	44.49	0	11.69	24	21.07	17.02	29.45	15.35	13.08	0	0	0.05
transcript_10174	0	0.96	0	2.61	2.2	5.43	2.15	0.7	2.06	0.51	3.72	3.52	0	3.72	4.28
transcript_10175	2.14	4	2.44	1.52	0.4	2.15	0.99	1.42	2.12	2.5	1.43	1.5	2.9	1.34	3.04
transcript_10176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10177	0.28	0.94	0	0	18.54	0.32	6.65	0	0.19	0	1.04	0	1.92	0.43	0.33
transcript_10178	1.3	1.42	1.44	2.85	1.01	2.62	1.8	0.21	1.38	1.45	1.61	1.52	0.42	1.7	0.54
transcript_10179	4.97	3.82	4.26	13.03	6.28	8.13	10.81	13.89	9.72	10.97	11.1	9.76	19.27	15.12	19.89
transcript_1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10180	27.19	19.4	30.56	12.89	0	10.86	15.97	0	1.11	4.53	18.56	34.39	47.01	30.06	2.17
transcript_10181	0	268.82	0	395.52	828.16	317.11	0	809.62	980.53	1012.34	0	875.65	0	0	0
transcript_10182	1.94	1.17	0.9	1.03	0.45	0.25	2.84	1.68	1.23	1.95	0.83	0.4	1.23	1.77	0
transcript_10183	0	0	0	0	0	0	0	0	0	0	0	0	24.42	0	0
transcript_10184	129.42	136.16	147.93	70.12	72.35	53.49	48.88	46.59	77.43	99.58	94.45	187.16	127.02	145.55	95.66
transcript_10185	1.09	0	0	1.11	0.61	1.1	2.22	2.9	1.08	4.2	2.92	4.39	2.33	0.85	2.74
transcript_10186	11521.83	3288.47	10404.05	27750.91	7547.54	8781.87	6489.62	4400.21	29547.5	51848.41	3366.21	2369.35	10417.56	1699.66	499.7
transcript_10187	47.95	54.03	65.21	58.09	30.55	40.88	32.92	45.14	39.27	55.64	30	29.61	14.14	16.78	34.88
transcript_10188	59.59	76.53	96.67	82.66	111.86	88.88	81.06	93.37	107.71	99.62	103.64	89.79	114.25	128.54	129.99
transcript_1019	10.16	12.97	8.59	10.04	13.7	12.31	23.51	47.74	30.39	30.32	42	75.87	50.65	32.57	57.89
transcript_10190	1.77	4.85	0	5.59	4.94	3.7	6.78	4.14	3.52	3.19	3.74	3.63	3.8	6.43	2.45
transcript_10191	63.89	58.72	84.55	229.86	216.39	193.96	76.21	250.33	212.76	137.89	171.28	238.88	276.01	301.21	215.6
transcript_10192	7845.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10194	0	0	0	0	0	0	0	19.15	0	0	0	0	6.94	0	0
transcript_10195	0	261.96	189.06	150.55	151.22	120.55	160.46	143.83	0	0.28	0	235.81	0	105.39	219.3
transcript_10196	2125.6	0.22	1.59	3.16	0	1.94	402.82	3.59	1.29	4.8	163.49	1.77	21.29	0.55	1.78
transcript_10197	4.41	20.13	10.74	8.77	6.08	8.59	6.81	5.38	8.4	7.62	15.91	7.44	22.02	23.39	15.25
transcript_10198	4.05	0	0	1.4	0	0	0	0	1.35	0	0	0.07	0	0	0
transcript_10199	628.15	1636.12	934.17	2711.53	1785.67	0	0	0	4116.94	2686.37	3685.41	4582.57	4221.69	2196.26	3291.7
transcript_102	44.54	51.27	52.38	37.44	26.85	31.81	53.68	22.33	55.54	36.78	22.84	18.78	31.06	14.92	13.29
transcript_1020	23.86	30.12	22.23	18.56	21.36	20.06	17.35	13.43	22.32	21.66	18.04	14.51	14.55	6.13	13.24
transcript_10200	7.19	132.57	7.59	0.22	7.86	0	88.15	5.9	139.58	3.76	7.46	8.4	9.83	0.99	0
transcript_10201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10202	3.81	3.66	2.96	2.9	4.82	5.23	7.49	9.6	8.07	47.06	36.36	22.55	7.29	14.7	10.21
transcript_10203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10204	0	0	128.44	0	0	0	0	0	0	0	93.07	0	0	107.3	129.26
transcript_10205	40.21	57.73	51.71	48.94	41.04	49.12	36.55	53.65	55.8	41.26	44.23	50.3	27.25	23.15	39.34
transcript_10206	407.44	81.29	257.83	943.45	1617.72	183.15	184.43	59.14	2452.43	1446.54	57.47	57.96	481.46	38.69	4.18
transcript_10207	7.97	9.32	5.9	6.72	8.43	16.5	12.69	7.76	11.14	9.82	6.92	12.99	9.43	1.91	4.99
transcript_10208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10209	0	0	0	0	0	0	0	0	0	0	0	4.51	0	0	0
transcript_1021	4.24	2.66	13.14	2.6	9.95	4.36	5.6	3.15	4.18	4.84	4.13	8.62	4.45	3.35	4.63
transcript_10210	19756.06	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0
transcript_10211	58.59	0	64.31	58.27	33.53	0	0	0	0	0	148.3	255.73	275.62	231.86	117.77
transcript_10212	0	0	0	0	0	0	1.39	3.61	0	1.26	0.79	0	0	0	0
transcript_10213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10214	40.65	50.07	63	53.09	61.31	53.03	51.97	56.19	54.03	41.47	67.27	64.61	65.79	35.65	62.37
transcript_10215	3.98	0.48	4.1	1.47	2.22	0	3.55	2.15	1.52	1.19	1.14	3.38	2.68	2.93	1.33
transcript_10216	0	4.63	4.53	3.18	5.1	0	4.52	0	1.25	4.33	0	0	0.77	2.81	0
transcript_10217	4454.5	5130.83	2981.89	4309.67	5116.95	4136.7	4795.28	4523.79	3029.07	1806.49	3013.7	4353.17	4332.88	3905.52	2461.94
transcript_10218	0	0	0	0	0	0	0.53	0.46	0	0.56	0	0.53	0	0.54	0
